Date,Open,High,Low,Close,Volume
2024-03-12,389.49170570984376,397.3965334152067,386.5589723111702,396.6196594238281,71300
2024-03-13,399.5232874322613,402.5725491694076,393.8811559723535,396.0564270019531,106700
2024-03-14,397.9889134268217,399.2222387320307,394.3667019671941,396.8818664550781,78500
2024-03-15,395.0270095893309,406.98133757550505,395.0270095893309,404.747802734375,311000
2024-03-18,403.4465644209183,407.651446248431,397.6490522983742,399.39703369140625,89300
2024-03-19,400.91194852873076,402.50457878295305,396.8430064251913,400.0962219238281,100300
2024-03-20,402.3783263461171,404.77696262612017,390.307469399814,394.4443664550781,100600
2024-03-21,394.58030285986985,398.44529072762856,389.1615078372636,395.6679382324219,76900
2024-03-22,396.5225151922759,397.4062263366267,383.383435425716,388.6468200683594,90500
2024-03-25,391.13289508101025,394.4249632091681,389.1227253980243,393.016845703125,58400
2024-03-26,390.5794300492839,396.57114644739823,389.6957187093984,394.23077392578125,111800
2024-03-27,397.15373552243693,398.1539748103072,390.16175142752905,396.3768615722656,389300
2024-03-28,398.19290203193657,398.9115120523263,389.68599139465374,389.9676208496094,61300
2024-04-01,392.0457130448742,393.657754691461,386.81146019850036,390.2783203125,91900
2024-04-02,389.88990166055254,390.58910017599135,382.36381928897123,389.3558044433594,91300
2024-04-03,387.4135792587261,391.4242574665135,385.7238619066201,387.66607666015625,58000
2024-04-04,390.11322461835596,391.16200745956576,384.1797436217993,385.277099609375,64200
2024-04-05,386.8697765379248,390.81247027000535,382.9076416906122,389.0061950683594,74400
2024-04-08,390.8426106847057,392.8689507658301,386.3612467830062,388.2025146484375,61500
2024-04-09,390.32626061822685,390.32626061822685,381.1492063013156,382.0162658691406,36300
2024-04-10,381.1589431069341,387.6179479732002,381.1589431069341,383.2145080566406,48000
2024-04-11,383.0781367738921,383.8380179552444,373.8621358348293,374.36871337890625,52700
2024-04-12,372.1182547189973,376.56064110432595,369.36125898429515,371.31939697265625,40300
2024-04-15,375.03112912644207,375.76178517665045,368.59162807456454,369.09820556640625,41400
2024-04-16,368.37732595724816,373.39449189432054,367.3349161199951,371.1440734863281,55800
2024-04-17,372.87820878787466,372.87820878787466,365.97107584264864,368.4358215332031,64600
2024-04-18,370.5400681732072,373.96927008766687,367.07188960901715,370.647216796875,38900
2024-04-19,371.4460644730028,375.625425561097,370.3549561540766,371.7188415527344,49800
2024-04-22,375.04090525322846,377.5543491489489,369.02030614100164,372.3520812988281,56500
2024-04-23,374.07642210989235,379.7462904319394,372.157231039764,375.7423095703125,56600
2024-04-24,372.8294734769741,375.4111191462431,370.0724477443319,372.7904968261719,61400
2024-04-25,369.711984886472,372.87816130513085,367.68564505993834,370.452392578125,53600
2024-04-26,375.6644070241732,376.6970950607681,361.73324175675714,371.89422607421875,59000
2024-04-29,371.8649530794703,371.8649530794703,367.0815879009216,368.79620361328125,66500
2024-04-30,368.57215885841816,373.06327392084046,368.4357851763206,372.7904968261719,139900
2024-05-01,371.0661469564736,378.41165481213454,370.7543932211983,372.868408203125,71300
2024-05-02,375.5182657682525,376.84320431419366,370.5303247892411,375.0116882324219,51200
2024-05-03,376.1027936735965,380.33085345066814,373.1899208369475,379.950927734375,45300
2024-05-06,382.62024682414284,390.3846868858975,382.62024682414284,390.1995849609375,53000
2024-05-07,389.7319747732304,398.7239270758058,388.9915967650669,394.98297119140625,108000
2024-05-08,394.98292716501834,396.1324855665249,389.06947697165833,394.0671691894531,44200
2024-05-09,394.98296486492814,400.18523295196206,392.089565395853,399.9416809082031,50600
2024-05-10,401.100998030199,401.100998030199,394.38868931617674,396.0838317871094,53300
2024-05-13,396.36635056858796,398.8895760749983,391.43685924873563,392.3428955078125,85800
2024-05-14,390.97896671003525,393.14171011921536,382.8053753115607,384.003662109375,91100
2024-05-15,383.77957092493654,389.09873923710956,383.16581501767155,384.6855773925781,53500
2024-05-16,386.6437208857091,387.6179289993173,383.0099139189804,386.0494384765625,58900
2024-05-17,387.25745802701755,388.5823667268277,384.6563094080631,386.57550048828125,48400
2024-05-20,385.31878122768796,387.6276794235632,382.35720997720296,387.0626220703125,36700
2024-05-21,387.85173760807464,388.3778183250442,384.23743375493706,386.4001770019531,40400
2024-05-22,384.74399090455995,387.0139123859559,374.42713087805487,378.40191650390625,62400
2024-05-23,381.0225377111347,381.0420409017623,371.45583621214996,373.0924987792969,78000
2024-05-24,375.8300341261538,379.76584353595314,371.1246216526524,378.9280090332031,60500
2024-05-28,377.89532732532444,380.65235297969497,367.334914773718,368.1435241699219,78100
2024-05-29,368.05581385735667,368.05581385735667,356.891397186945,358.5378112792969,85100
2024-05-30,359.2099959058709,364.4707134666924,357.1446795822534,364.30511474609375,79400
2024-05-31,363.7595873672294,364.45126681392446,351.8547628478718,353.0822448730469,240300
2024-06-03,353.69602744084534,358.10918940670086,352.31266844306674,353.20892333984375,54600
2024-06-04,353.2088898725618,353.90056930591305,349.4776858938379,351.8255310058594,44300
2024-06-05,353.93954738296304,354.4168998448886,348.36707578380435,351.3091735839844,41000
2024-06-06,351.3871818541458,353.9396027542779,347.012996253407,352.8582458496094,45100
2024-06-07,352.4782570423103,355.9854124146639,347.85076821599665,348.25994873046875,44800
2024-06-10,345.24961445069806,349.36074399167137,342.0736866080243,349.2925720214844,76400
2024-06-11,347.75337062558356,347.75337062558356,341.86917416717574,344.6553955078125,87700
2024-06-12,346.4478886916341,348.36707988730245,341.3332960348525,344.25592041015625,69100
2024-06-13,343.3985929513756,343.3985929513756,337.42669272764664,341.67425537109375,48300
2024-06-14,339.2679714962232,341.85936861500676,336.18947032647594,340.7974853515625,59000
2024-06-17,340.2908700970658,348.3086132900771,340.2908700970658,346.27252197265625,51600
2024-06-18,346.66222698602303,350.9877135811267,346.66222698602303,347.69488525390625,39400
2024-06-20,346.49665602878116,350.0232850826551,342.98950043663615,344.3046875,58300
2024-06-21,348.11376556861404,352.11777629964166,343.8467590853298,349.7504577636719,194100
2024-06-24,350.714910490162,356.9206112327931,350.714910490162,352.98480224609375,65200
